feature,importance
body_word_count,0.0533806185304814
body_len,0.05062352483822768
commit_msg_len,0.041819203994706955
deletions_per_file,0.0399616377927731
total_deletions,0.0387324361223876
title_len,0.03573542119833396
commit_msg_word_count,0.03399619848517618
additions_per_file,0.033496138932653956
net_lines,0.03254868600187548
code_churn,0.03157758728084099
total_additions,0.029478497708584878
title_word_count,0.029341124008967042
cfg_avg_out_degree,0.029099588280266916
ast_total_nodes,0.028279332527062384
ast_max_depth,0.022857561620810193
ast_error_node_count,0.022525268196999654
commits_per_file,0.022196960456620198
cfg_total_nodes,0.02163394375723077
cfg_total_edges,0.021495375201545222
repo_microsoft/vscode,0.02050829717364559
test_file_ratio,0.019189991417693366
ast_assignment_count,0.018863577220605877
repo_facebook/react,0.017556360162574957
num_changed_files,0.017063482200087667
num_commits,0.01609539927354421
cfg_cyclomatic_complexity,0.01307842735088743
code_file_ratio,0.012988961577474863
num_test_files,0.011845101960775864
cfg_branch_nodes,0.011811792609641167
ast_if_count,0.011777361556594753
has_issue_link,0.011772289188528622
ast_func_def_count,0.011752063034842327
cfg_exit_nodes,0.011746158221408929
ast_return_count,0.011627617824405837
has_ts,0.010927341459470758
doc_file_ratio,0.010535113842335233
num_config_files,0.01047208182855713
ast_files_attempted,0.00990011524627559
num_code_files,0.009748025438594833
cfg_files_processed,0.009171080483879346
cfg_files_with_cfg,0.008735711711468691
ast_files_parsed,0.008597757185900657
has_py,0.00770179817324528
repo_huggingface/transformers,0.007586516886895154
repo_pandas-dev/pandas,0.007533978032275391
num_doc_files,0.006845374965088417
cfg_loop_nodes,0.006759199693980049
has_release_note,0.006389716817481991
cfg_max_branch_depth,0.006236910658724554
ast_loop_count,0.006228359073714843
repo_kubernetes/kubernetes,0.005863333712053212
ast_class_def_count,0.004928407842182031
has_go,0.004726030607899672
ast_parse_success_rate,0.0037817419907048696
has_js,0.002909494448379261
ast_try_count,0.0020983873424319
has_rs,0.0016751919399327717
large_pr_flag,0.0016622085184435345
cfg_missing,0.0016312625903271286
body_empty_flag,0.000898873801501758
ast_missing,0.0
